topic_id,category_id,post_count,avg_score
104132,21,42,92.0952380952381
104152,7,34,10490.441176470587
104164,7,21,314.3333333333335
1041,8,8,119.675
104216,14,3,12696.933333333334
104224,19,27,321.1851851851851
104256,7,43,2652.9674418604654
104270,19,1,41.0
104290,19,1,351.2
104316,7,4,74.65
104319,19,4,49.650000000000006
104331,7,1,11.6
104341,7,9,418.82222222222225
104359,7,4,12226.35
104362,7,4,188.04999999999998
104376,19,7,853.3714285714285
104392,19,1,226.8
1043,7,11,312.4363636363637
104400,7,9,542.9333333333335
104474,7,4,320.9
104485,7,28,269.22857142857146
10448,21,2,48.7
104499,7,7,159.7428571428572
104500,7,7,1155.6571428571428
104504,14,1,1044.6
104530,7,2,749.4000000000001
104533,8,11,254.23636363636368
104544,8,5,18.32
104550,7,7,1308.4571428571435
104558,7,9,680.0222222222221
104564,7,5,369.08
104567,19,2,131.8
104572,19,4,745.4499999999999
104603,7,5,1066.64
10462,7,7,266.2857142857143
104632,7,3,1804.8
104649,7,1,83.2
104651,19,2,884.0
104685,7,23,338.3826086956521
10470,14,3,585.6666666666666
104732,19,5,288.52
104733,19,7,619.8571428571429
10473,7,2,86.5
104757,7,15,735.3066666666665
104769,7,9,4492.177777777779
104773,19,1,86.0
104775,7,1,72.2
104778,7,1,41.6
104803,7,28,8406.44285714286
104812,19,22,2107.509090909091
104816,19,4,1392.95
10484,8,1,288.0
104880,19,3,5972.333333333335
104902,7,1,151.8
10491,7,3,27.53333333333333
10492,7,5,101.04
104994,21,1,71.8
105001,21,3,1281.3333333333333
105006,8,4,2958.3
105051,21,14,179.8428571428571
105056,19,1,52.6
105184,7,10,2793.2400000000002
105390,21,3,152.06666666666666
10541,8,2,65.60000000000001
105424,19,38,6662.015789473687
105426,7,16,643.725
105440,7,9,137.48888888888888
105479,7,1,93.0
10549,8,2,51.8
105503,19,15,707.1200000000002
105560,19,2,771.8
10556,21,2,13.799999999999999
105578,7,1,329.0
1055,8,2,274.0
105650,7,2,2187.5
105659,19,2,8.700000000000001
105685,7,7,4321.885714285715
105691,7,8,1081.825
105699,19,2,60.9
105713,7,3,134.66666666666666
10572,7,2,68.19999999999999
105739,19,2,197.9
105760,7,2,138.79999999999998
105788,7,3,4799.733333333333
105796,7,2,39.2
105798,19,1,261.6
105801,19,4,1777.7
105820,19,2,22.299999999999997
105827,19,2,467.59999999999997
10582,7,4,16.650000000000002
10584,21,2,103.4
105854,19,42,983.7809523809525
105866,7,3,243.80000000000004
105886,7,22,666.2818181818183
10591,7,2,274.7
105942,21,3,104.99999999999999
10596,8,3,136.86666666666665
105975,7,1,36.6
105983,8,17,325.17647058823525
106028,19,4,3191.7499999999995
106029,7,14,539.0714285714287
10606,7,3,141.79999999999998
10608,7,2,1895.4
106094,7,6,206.4333333333333
106127,7,2,2203.1
10612,7,3,29.066666666666666
10613,7,4,856.6
106152,21,4,2840.75
106167,19,2,539.0
106192,7,17,21871.694117647054
106202,19,3,918.3333333333334
106219,19,1,277.0
