topic_id,category_id,max_score
102839,7,73.4
10284,7,21649.4
102852,7,214778.4
102854,7,314.4
102862,21,173.2
102863,7,1997.6
102866,7,1754.8
102868,7,90276.4
102894,14,1198.2
102896,7,399.2
102905,7,1153.4
102909,7,1977.6
102910,19,17214.8
102919,7,3643.2
102929,7,58.2
102939,7,1679.6
102947,7,182.2
102979,19,3265.4
102983,7,3425.6
102990,7,2005.2
102993,7,11045.4
103002,21,1032.8
103024,7,20957.8
103029,21,517.2
103041,7,1017.2
103047,19,130.6
103061,19,978.4
103094,7,16571.2
103096,7,2300.4
103111,19,276.2
103121,8,38193.4
103128,19,951.6
103141,8,707.4
103143,8,5965.2
103144,7,326.8
103150,7,14139.8
103152,7,1013.2
103163,7,2012.2
103167,7,48.8
103213,7,1535.0
103220,19,507.0
103223,19,809.0
103225,19,120218.6
103272,19,643.8
103277,7,406.0
103296,19,269805.8
103307,19,97.4
103338,7,2650.8
10333,7,2983.0
103340,7,95.6
10338,8,2406.2
103429,7,218.6
103475,8,3580.6
103479,19,256.4
103480,7,423.4
103520,19,26474.4
103588,14,5013.6
103614,19,46.4
103655,7,31272.4
103657,19,5168.4
103668,19,5124.2
103696,7,20134.4
1036,7,3581.4
103717,7,151104.0
103721,7,3980.2
103722,19,243.4
103730,7,3869.2
103737,21,276.8
103773,19,7398.2
103787,7,35866.6
103850,7,2288.0
103866,21,499.4
103880,7,566.6
10389,7,37.4
103913,7,2277.2
10391,8,229.8
103927,7,148.2
10395,7,4028.8
10397,7,370.2
104032,7,1613.6
104084,7,2707.6
104120,7,2111.6
104132,21,2988.2
104152,7,334483.2
104164,7,5751.6
1041,8,602.4
104216,14,37377.8
104224,19,7846.2
104256,7,103139.8
104270,19,41.0
104290,19,351.2
104316,7,232.8
104319,19,183.8
104331,7,11.6
104341,7,3472.8
104359,7,47991.0
104362,7,740.0
104376,19,5589.4
104392,19,226.8
1043,7,2975.8
104400,7,3779.0
104474,7,1053.6
104485,7,6086.0
10448,21,97.2
104499,7,962.6
104500,7,6637.8
104504,14,1044.6
104530,7,1435.4
104533,8,2386.0
104544,8,63.0
104550,7,8892.2
104558,7,5402.6
104564,7,1715.0
104567,19,261.8
104572,19,2863.2
104603,7,5001.8
10462,7,1641.2
104632,7,5254.0
104649,7,83.2
104651,19,1741.8
104685,7,6533.2
10470,14,1662.4
104732,19,1345.0
104733,19,4164.8
10473,7,154.2
104757,7,9926.0
104769,7,37062.4
104773,19,86.0
104775,7,72.2
104778,7,41.6
104803,7,213365.8
104812,19,43963.2
104816,19,5484.6
10484,8,288.0
104880,19,17155.4
104902,7,151.8
10491,7,48.4
10492,7,318.0
104994,21,71.8
105001,21,3728.6
105006,8,11521.0
105051,21,2337.0
105056,19,52.6
105184,7,25847.4
105390,21,426.8
10541,8,130.4
105424,19,236833.6
105426,7,9273.8
105440,7,1151.4
105479,7,93.0
10549,8,82.8
105503,19,9904.2
105560,19,1504.8
10556,21,27.4
105578,7,329.0
1055,8,547.8
105650,7,4244.0
105659,19,16.6
105685,7,29103.4
105691,7,8152.6
105699,19,121.2
105713,7,385.8
10572,7,136.2
105739,19,388.2
